Category,Category Reassignment,Sub-Category,Subcategory Reassignment,Sub-Category 2,Subcategory 2 reassignment,Resource assignment,Priority,RCB,Exceptions
Appliances,,Microwave,,Noisy,"Other, Please provide description",Tech I II III,normal,,
Appliances,,Microwave,,Not Secured,"Other, Please provide description",Tech I II III,normal,,
Appliances,,Microwave,,"Other, Please Provide Description","Other, Please provide description",Tech I II III,normal,,
Appliances,,Microwave,,No Power,No power,Tech II III,normal,,
Appliances,,Microwave,,Strange Odor,"Other, Please provide description",Tech I II III,normal,,
Appliances,,Microwave,,Turntable not operational,,Tech I II III,normal,x,
Appliances,,Microwave,,Won't Close,Door will not close properly,Tech I II III,normal,,
Appliances,,Microwave,,Won't Heat,operating and not heating,Tech II III,normal,,
Appliances,,Microwave,,,"Other, Please provide description",Tech I II III,normal,,
Appliances,,"Other, Please Provide Description",,,"Other, Please provide description",Tech I II III,normal,,
Appliances,,Range,,Broken Control Panel,Preventative maintenance ,Tech I II III,normal,,
Appliances,,Range,,Broken Shelf,"Other, Please provide description",Tech I II III,normal,,
Appliances,,Range,,Damaged,"Other, Please provide description",Tech I II III,normal,,
Appliances,,Range,,Error Code,,Tech II III,high,,
Appliances,,Range,,Gas Odor,Gas Odor,Tech II III,emergency,,
Appliances,,Range,,Light Not operating,Light Not operating,Tech I II III,normal,x,
Appliances,,Range,,Missing Component,"Other, Please provide description",Tech I II III,normal,,
Appliances,,Range,,Noisy,"Other, Please provide description",Tech I II III,normal,,
Appliances,,Range,,Not Secured,"Other, Please provide description",Tech I II III,normal,,
Appliances,,Range,,No Power,No power,Tech II III,emergency,,
Appliances,,Range,,Smoke Emits From Range,"Other, Please provide description",Tech I II III,normal,,
Appliances,,Range,,Strange Odor,"Other, Please provide description",Tech I II III,normal,,
Appliances,,Range,,Wiring Off,"Other, Please provide description",Tech I II III,normal,,
Appliances,,Range,,Won't Close/Seal,"Other, Please provide description",Tech I II III,normal,,
Appliances,,Range,,Not heating,operating not Heating,Tech II III,emergency,,
Appliances,,Refrigerator,,Broken Shelf/Drawer,,Tech I II III,normal,x,
Appliances,,Refrigerator,,Damaged,Preventative maintenance ,Tech I II III,normal, ,
Appliances,,Refrigerator,,Freezer Frosting,"Other, Please provide description",Tech I II III,normal,,
Appliances,,Refrigerator,,Freezer Not freezing,Freezer Not freezing,Tech III,emergency,,
Appliances,,Refrigerator,,Ice maker not operating,Ice maker not operating,Tech II III,normal,,
Appliances,,Refrigerator,,Loose Handle,"Other, Please provide description",Tech I II III,normal,,
Appliances,,Refrigerator,,Missing Component,"Other, Please provide description",Tech I II III,normal,,
Appliances,,Refrigerator,,Noisy,"Other, Please provide description",Tech I II III,normal,,
Appliances,,Refrigerator,,"Other, Please Provide Description","Other, Please provide description",Tech I II III,high,,
Appliances,,Refrigerator,,No power,No power,Tech II III,emergency,,
Appliances,,Refrigerator,,Strange Odor,"Other, Please provide description",Tech I II III,normal,,
Appliances,,Refrigerator,,Water leaking from refrigerator or water line,Water leaking from refrigertor or water line,Tech II III,emergency,,
Appliances,,Refrigerator,,Door Will Not close Properly,Door Will Not close Properly,Tech II III,high,,
Appliances,,Refrigerator,,Refrigerator not cooling,Refrigerator will not cool,Tech II III,emergency,,
Appliances,,Refrigerator,,"Other, Please provide description","Other, Please provide description",Tech I II III,normal,,
Appliances,,Wall Oven,,Broken Control Panel,Preventative maintenance ,Tech I II III,normal,,
Appliances,,Wall Oven,,Broken Shelf,"Other, Please provide description",Tech I II III,normal,,
Appliances,,Wall Oven,,Damaged,"Other, Please provide description",Tech I II III,normal,x,
Appliances,,Wall Oven,,Error Code,,Tech II III,high,,
Appliances,,Wall Oven,,Gas Leak,Gas Odor,Tech II III,emergency,,
Appliances,,Wall Oven,,Missing Component,"Other, Please provide description",Tech I II III,normal,,
Appliances,,Wall Oven,,Noisy,"Other, Please provide description",Tech I II III,normal,,
Appliances,,Wall Oven,,Not Secured,Wall oven not secured to wall ,Tech I II III,high,,
Appliances,,Wall Oven,,Light Not operating,Light Not operating,Tech I II III,normal,x,
Appliances,,Wall Oven,,No Power,No power,Tech II III,emergency,,
Appliances,,Wall Oven,,Smoke Emits From Oven,"Other, Please provide description",Tech I II III,normal,,
Appliances,,Wall Oven,,Strange Odor,"Other, Please provide description",Tech I II III,normal,,
Appliances,,Wall Oven,,Wiring Off,"Other, Please provide description",Tech I II III,normal,,
Appliances,,Wall Oven,,Door will not close properly,Door will not close properly,Tech I II III,high,,
Appliances,,Wall Oven,,Not Heating,operating Not Heating,Tech II III,emergency,,
Appliances,,Wall Oven,,"Other, Please provide description","Other, Please provide description",Tech I II III,normal,,
Appliances,,Water Heater,,Damaged,Preventative maintenance ,Tech I II III,normal,,
Appliances,,Water Heater,,Leaking,Leaking water ,vend,emergency,,
Appliances,,Water Heater,,No/Insufficient Hot Water,Insufficient Hot water,Tech II III,high,,
Cabinets/Countertops,,shelf or rack loose or falling,shelf or rack loose or falling,,,Tech I II III,normal,x,
Cabinets/Countertops,,Doors/Drawer off The Tracks,,,,Tech I II III,normal,x,
Cabinets/Countertops,,Door Wont Shut,,,,Tech I II III,normal,,
Cabinets/Countertops,,Loose Cabinet/Countertop,,,,Tech I II III,normal,,
Cabinets/Countertops,,"Other, please provide description ",,,,Tech I II III,normal,x,
Cabinets/Countertops,,Needs Caulking/Sealant,"Other, please provide description ",,,Tech I II III,normal,,
Cabinets/Countertops,,Replace Hinge,"Other, please provide description ",,,Tech I II III,normal,,
Cleaning,,Please provide description,,,,vend,normal,,
Doors/Windows,,Blinds,,"Other, Please provide description","Other, Please provide description",Tech I II III ,normal,x,
Doors/Windows,,Blinds,,Will Not Operate,Will Not Operate,Tech I II III ,normal,x,
Doors/Windows,,Door,,doorbell not operating ,doorbell not operating ,Tech I II III ,normal,,
Doors/Windows,,Door,,Door handle does not work properly,"Other, Please provide description",Tech I II III ,high,x,
Doors/Windows,,Door,,Broken/Loose Hinges,"Other, Please provide description",Tech I II III ,high,,
Doors/Windows,,Door,,"Other, Please provide description","Other, Please provide description",Tech I II III ,normal,,
Doors/Windows,,Door,,Damaged,"Other, Please provide description",Tech I II III ,normal,x,
Doors/Windows,,Door,,Damaged Trim,"Other, Please provide description",Tech I II III ,normal,,
Doors/Windows,,Door,,Door seal leaking ,Door seal leaking ,Tech I II III ,high,,
Doors/Windows,,Door,,Needs Sealed,"Other, Please provide description",Tech I II III ,normal,,
Doors/Windows,,Door,,Screen Door Damaged,screen door damaged ,Tech I II III ,normal,x,
Doors/Windows,,Door,,exterior sliding glass door off track,exterior sliding glass door off track,Tech I II III ,emergency,,
Doors/Windows,,Door,,door will not latch - unsecured,door will not latch - unsecured,Tech I II III ,emergency,,
Doors/Windows,,Door,,Wont Open/Close Properly,will not open / close properly ,Tech I II III ,high,,
Doors/Windows,,Windows,,Broken Hinges,"Other, Please provide description",Tech I II III ,normal,,
Doors/Windows,,Windows,,Damaged,Broken Glass ,vend,emergency,x,
Doors/Windows,,Windows,,"Other, Please provide description","Other, Please provide description",Tech I II III ,normal,,
Doors/Windows,,Windows,,Leaking water,Leaking water ,vend,high,,
Doors/Windows,,Windows,,Needs Sealed,"Other, Please provide description",Tech I II III ,normal,,
Doors/Windows,,Windows,,Screen Damaged/Missing,screen damaged or missing ,Tech I II III ,normal,x,
Doors/Windows,,Windows,,Shutter Damaged,"Other, Please provide description",Tech I II III ,normal,,
Doors/Windows,,Windows,,will not stay open ,will not stay open ,Tech I II III ,normal,,
Doors/Windows,,Windows,,will not latch - unsecured,will not latch - unsecured,Tech I II III ,emergency,,
Doors/Windows,,Windows,,will not close or open properly ,will not close or open properly ,Tech I II III ,high,,
Electrical,,Interior Lighting,Interior Lighting,Not working,Not working,Tech I II III,normal,x,
Electrical,,Ceiling Fan,,Not working,Not working,Tech I II III,normal,,
Electrical,,Ceiling Fan,,"Other, please provide description","Other, please provide description",Tech I II III,normal,,
Electrical,,Ceiling Fan,,Noisy,"Other, please provide description",Tech I II III,normal,,
Electrical,,Ceiling Fan,,Missing Component,"Other, please provide description",Tech I II III,normal,,
Electrical,,Ceiling Fan,,Unstable,"Other, please provide description",Tech I II III,normal,,
Electrical,,Exposed Wiring,,,"Other, please provide description",Tech II III,high,,
Electrical,,Outlet/receptacle ,Outlet/receptacle ,GFCI Not working,GFCI Not working,Tech II III,normal,x,
Electrical,,Outlet/receptacle ,Outlet/receptacle ,Receptacle Not working,Receptacle Not working,Tech II III,normal,,
Electrical,,Exterior Lighting ,Exterior Lighting ,Not working,Not working,Tech I II III,normal,x,
Electrical,,Missing Light Fixture,,,"Other, please provide description",Tech II III,normal,,
Electrical,,No Power/Electrical Issue,No Electrical Power,,Whole Home,Tech II III,Emergency,,
Electrical,,"Other, Please Provide Description",,,,Tech II III,normal,,
Electrical,,Outlets Do Not Work,Outlet/receptacle ,,Receptacle Not working,Tech II III,normal,,
Electrical,,Smoke Alarm,Smoke Alarm,Chirping,Chirping,Tech I II III,normal,x,
Electrical,,Smoke Alarm,Smoke Alarm,Not Functioning,Not Functioning,Tech II III,high,,
Exterior Repairs,,Post/Pole Light not operating ,Post/Pole Light not operating ,,,Tech I II III ,normal,x,
Exterior Repairs,,"Other, please provide description","Other, please provide description",,,Tech I II III ,normal,,
Exterior Repairs,,Damaged Chimney,,,,vend,high,,
Exterior Repairs,,Damaged Deck/Patio,,,,Tech I II III,normal,,
Exterior Repairs,,Damaged Gutters,"Other, please provide description",,,Tech I II III,normal,,
Exterior Repairs,,Damaged Handrail,"Other, please provide description",,,Tech I II III,normal,,
Exterior Repairs,,Damaged mailbox,"Other, please provide description",,,Tech I II III,normal,,
Exterior Repairs,,Damaged Shed,"Other, please provide description",,,Tech I II III,normal,,
Exterior Repairs,,Damaged Shutters,"Other, please provide description",,,Tech I II III,normal,,
Exterior Repairs,,Damaged Steps,"Other, please provide description",,,Tech I II III,normal,,
Exterior Repairs,,Dislodged Deck Supports,"Other, please provide description",,,Tech I II III,normal,,
Exterior Repairs,,Foundation Repair,Foundation Issue,,,vend,high,,
Exterior Repairs,,Oil Stains,"Other, please provide description",,,Tech I II III,normal,,
Fencing,,Gate Latch or Hinge Broken,Gate Latch or Hinge Broken,,,Tech I II III,normal,,
Fencing,,"Other, Please provide description",,,,Tech I II III,normal,x,
Fencing,,Door Won't Open/Close,"Other, Please provide description",,,Tech I II III,normal,,
Fencing,,Fence Fallen Over,Fence Fallen Over,,,Tech I II III,normal,,
Fencing,,Fenceline Needs Adjustment,"Other, Please provide description",,,Tech I II III,normal,,
Fencing,,Leans/Crooked,"Other, Please provide description",,,Tech I II III,normal,,
Fencing,,Loose/Not Secure,"Other, Please provide description",,,Tech I II III,normal,,
Flooring,,Carpet,,Seam or edge Ripped ,Seam or edge Ripped ,vend,normal,,
Flooring,,Carpet,,Stained or discolored,Stained or discolored,vend,normal,x,
Flooring,,Carpet,,Flooding,"Other, Please provide description",Tech I II III,normal,,
Flooring,,Carpet,,"Other, Please provide description","Other, Please provide description",Tech I II III,normal,,
Flooring,,Carpet,,Lifting/Uneven,Stretched / wrinkled,vend,normal,,
Flooring,,Carpet,,loose threshold or trim,loose threshold or trim,Tech I II III,normal,,
Flooring,,Carpet,,Missing Componant,"Other, Please provide description",Tech I II III,normal,,
Flooring,,Carpet,,Tacks strips exposed,Tacks strips exposed,Tech I II III,normal,,
Flooring,,Carpet,,Needs Sealed,"Other, Please provide description",Tech I II III,normal,,
Flooring,,Carpet,,Strange Odor,Dirty/Odor,vend,normal,x,
Flooring,,Sheet Vinyl,,Damaged,,vend,normal,x,
Flooring,,Sheet Vinyl,,Stained/discolored,Stained or discolored,vend,normal,x,
Flooring,,Sheet Vinyl,,"Other, Please provide description","Other, Please provide description",Tech I II III,normal,,
Flooring,,Sheet Vinyl,,Leaks,"Other, Please provide description",Tech I II III,normal,,
Flooring,,Sheet Vinyl,,Lifting/Uneven,Seams ripped ,vend,normal,,
Flooring,,Sheet Vinyl,,loose threshold or trim,loose threshold or trim,Tech I II III,normal,,
Flooring,,Sheet Vinyl,,Missing Componant,"Other, Please provide description",Tech I II III,normal,,
Flooring,,Sheet Vinyl,,Nails/Protrusions,,Tech I II III,normal,,
Flooring,,Sheet Vinyl,,Needs Sealed,"Other, Please provide description",Tech I II III,normal,,
Flooring,,Sheet Vinyl,,Strange Odor,Dirty/Odor,vend,normal,x,
Flooring,,Tile,,Damaged,other,vend,normal,x,
Flooring,,Tile,,Stained/discolored,Stained or discolored,vend,normal,x,
Flooring,,Tile,,"Other, Please provide description","Other, Please provide description",Tech I II III,normal,,
Flooring,,Tile,,Leaks,"Other, Please provide description",Tech I II III,normal,,
Flooring,,Tile,,broken/chipped/missing tile,broken/chipped/missing tile,vend,normal,x,
Flooring,,Tile,,Loose Trim,loose threshold or trim,Tech I II III,normal,,
Flooring,,Tile,,Nails/Protrusions,,Tech I II III,normal,,
Flooring,,Tile,,Needs Sealed,"Other, Please provide description",Tech I II III,normal,,
Flooring,,Tile,,Strange Odor,dirty/odor/stain,vend,normal,x,
Flooring,,Vinyl Plank,,Damaged,,vend,normal,x,
Flooring,,Vinyl Plank,,Stained/discolored,Stained or discolored,vend,normal,x,
Flooring,,Vinyl Plank,,"Other, Please provide description","Other, Please provide description",Tech I II III,normal,,
Flooring,,Vinyl Plank,,Leaks,"Other, Please provide description",Tech I II III,normal,,
Flooring,,Vinyl Plank,,Lifting/Uneven,seams opening up / planks lifting,vend,normal,,
Flooring,,Vinyl Plank,,Loose Trim,loose threshold or trim,Tech I II III,normal,,
Flooring,,Vinyl Plank,,Nails/Protrusions,,Tech I II III,normal,,
Flooring,,Vinyl Plank,,Needs Sealed,"Other, Please provide description",Tech I II III,normal,,
Flooring,,Vinyl Plank,,Strange Odor,dirty/odor/stain,vend,normal,x,"""Flooring"" is missing all categories and sub categories except for ""Hardwood or Laminate wood"
Flooring,,Wood Floors,Hardwood or Laminate wood,Please provide description,"Other, Please provide description",vend,normal,,
Garage Door,Garage Door,Garage Door,Garage door opener,"Other, Please provide description",,Tech I II III,high,,
Garage Door,Garage Door,Garage Door Opener,,"Other, Please provide description","Other, Please provide description",Tech I II III,normal,,
Garage Door,Garage Door,Garage Door,Garage door opener,Broken Sensor,,Tech I II III,high,,
Garage Door,Garage Door,Garage Door,broken spring,Broken Spring,(Delete),vend,high,,
Garage Door,Garage Door,Garage Door,Damaged Door,Damaged Door,(Delete),vend,high,x,
Garage Door,Garage Door,Garage Door,Damaged Track,Damaged Tracks,(Delete),vend,high,x,
Garage Door,Garage Door,Garage Door,Door off track,Door Is Off The Tracks,(Delete),vend,high,,
Garage Door,Garage Door,Garage Door,garage door opener,No power/inoperable,no power or door/motor inoperable ,Tech I II III,high,,
Garage Door,Garage Door,Garage Door,garage door opener,garage door open and will not close,garage door open and will not close,Tech I II III,high,,
Garage Door,Garage Door,Garage Door,garage door opener,garage door closed will not open,garage door closed will not open,Tech I II III,high,,
Garage Door,Garage Door,Garage Door,garage door opener,Grinding Noise,Preventative maintenance ,Tech I II III,normal,,
Garage Door,Garage Door,Garage Door Opener,,Missing Remote,,Tech I II III,normal,x,
Garage Door,Garage Door,Garage Door,garage door opener,Motor Not Secured,"Other, Please provide description",Tech I II III,normal,,
Garage Door,Garage Door,Garage Door,garage door opener,Opens/Closes Randomly,"Other, Please provide description",Tech I II III,normal,,
Garage Door,Garage Door,Garage Door Opener,,Remotes Won't Work,,Tech I II III,normal,x,
HVAC ,,General,General,AC is not cooling,"Other, please provide description",HVAC Tech ,high,,
HVAC ,,General,General,AC Freezing Up,"Other, please provide description",HVAC Tech ,high,,
HVAC ,,General,General,Broken Fan,"Other, please provide description",HVAC Tech ,high,,
HVAC ,,General,General,Burning Smell,"Other, please provide description",HVAC Tech ,high,,
HVAC ,,General,General,No or low airflow,"Other, please provide description",HVAC Tech ,high,,
HVAC ,,General,General,Coolant Leaking,"Other, please provide description",HVAC Tech ,high,,
HVAC ,,General,General,Heat Does Not Work,"Other, please provide description",HVAC Tech ,high,,
HVAC ,,General,General,"other, please provide description","Other, please provide description",HVAC Tech ,high,,
HVAC ,,General,General,Not Operating / No Power,"Other, please provide description",HVAC Tech ,high,,
HVAC ,,General,General,Strange Odor,"Other, please provide description",HVAC Tech ,high,,
HVAC ,,General,General,Thermostat not operating,"Other, please provide description",HVAC Tech ,high,,
HVAC ,,General,General,Unit Is Not Secure,"Other, please provide description",HVAC Tech ,high,,
HVAC ,,Indoor unit,Indoor unit,AC Does Not Work,no power - not operating,HVAC Tech ,high,,
HVAC ,,Indoor unit,Indoor unit,AC Freezing Up,Operating - not cooling home to thermostat setting,HVAC Tech ,high,,
HVAC ,,Indoor unit,Indoor unit,Broken Fan,not cooling,HVAC Tech ,high,,
HVAC ,,Indoor unit,Indoor unit,Broken Fan,"Other, please provide description",HVAC Tech ,high,,
HVAC ,,Indoor unit,Indoor unit,Burning Smell,"Other, please provide description",HVAC Tech ,high,,
HVAC ,,Indoor unit,Indoor unit,Does Not Work,"Other, please provide description",HVAC Tech ,high,,
HVAC ,,Indoor unit,Indoor unit,Heat Does Not Work,not heating,HVAC Tech ,high,,
HVAC ,,Indoor unit,Indoor unit,No Hot Water,"Other, please provide description",HVAC Tech ,high,,
HVAC ,,Indoor unit,Indoor unit,Noisy,"Other, please provide description",HVAC Tech ,high,,
HVAC ,,Indoor unit,Indoor unit,Powered Off/Dead,"Other, please provide description",HVAC Tech ,high,,
HVAC ,,Indoor unit,Indoor unit,Strange Odor,"Other, please provide description",HVAC Tech ,high,,
HVAC ,,Indoor unit,Indoor unit,Thermostat Broke,thermostat not operating,HVAC Tech ,high,,
HVAC ,,Indoor unit,Indoor unit,Unit Is Not Secure,"Other, please provide description",HVAC Tech ,high,,
HVAC ,,Outdoor unit,Outdoor unit,Broken Fan,"Other, please provide description",HVAC Tech ,high,,
HVAC ,,Outdoor unit,Outdoor unit,"other, please provide description","other, please provide description",HVAC Tech ,high,,
HVAC ,,Outdoor unit,Outdoor unit,Heat Does Not Work,"Other, please provide description",HVAC Tech ,high,,
HVAC ,,Outdoor unit,Outdoor unit,Noisy,"Other, please provide description",HVAC Tech ,high,,
HVAC ,,Outdoor unit,Outdoor unit,Not Operating / No Power,Not Operating / No Power,HVAC Tech ,high,,
HVAC ,,Outdoor unit,Outdoor unit,"Other, please provide description","Other, please provide description",HVAC Tech ,high,,
HVAC ,,Outdoor unit,Outdoor unit,Unit Is Not Secure,"Other, please provide description",HVAC Tech ,high,,
HVAC ,,Outdoor unit,Outdoor unit,AC Does Not Work,"Other, please provide description",HVAC Tech ,high,,
HVAC ,,Outdoor unit,Outdoor unit,Broken Fan,"Other, please provide description",HVAC Tech ,high,,
HVAC ,,Outdoor unit,Outdoor unit,Strange Odor,"Other, please provide description",HVAC Tech ,high,,
HVAC ,,Outdoor unit,Outdoor unit,Thermostat Broke,"Other, please provide description",HVAC Tech ,high,,
HVAC ,,Pick Up,Portable HVAC,,Pick Up,Tech I II III,high,,
HVAC ,,Drop Off,Portable HVAC,,Drop Off,Tech I II III,high,,
Interior Paint/Walls,,Damaged Handrail,,Scratched or discolored,Scratched or discolored,Tech I II III ,normal,x,
Interior Paint/Walls,,Damaged Handrail,Damaged Handrail,Loose of Falling,Loose of Falling,Tech I II III ,high,x,
Interior Paint/Walls,,Damaged Steps,,Scratched or discolored,Scratched or discolored,Tech I II III ,normal,x,
Interior Paint/Walls,,Damaged steps,Damaged steps,Loose of Falling,"Other, please provide description",Tech I II III ,normal,,"delete ""scratched or discolored"" from sub cat 2 picklist for sub cat "" damaged steps."
Interior Paint/Walls,,"other, please provide description","other, please provide description",,,Tech I II III ,normal,,
Interior Paint/Walls,,Rack/Cabinet Not Secured To Wall,shelf/cabinet not secure,,,Tech I II III ,normal,,
Interior Paint/Walls,,Surface Needs Repainted,"other, please provide description",,,Tech I II III ,normal,x,
Interior Paint/Walls,,Surface Uneven,"other, please provide description",,,Tech I II III ,normal,,
Interior Paint/Walls,,Wall/Ceiling Cracks,,,,Tech I II III ,normal,,
Interior Paint/Walls,,Wall/Ceiling Holes,,,,Tech I II III ,normal,,
Interior Paint/Walls,,Wall/Ceiling Leaks,"other, please provide description",,,Tech I II III ,normal,,
Smart Home,,Lock not operational,,,,Tech I II III ,high,x,
Smart Home,,Lock Misaligned,,,,Tech I II III ,high,,
Smart Home,,Lock Not Secured,Lock is Loose or not secure,,,Tech I II III ,high,,"""Lock is Loose or not secure"" is missing from the sub cat pick list"
Smart Home,,Thermostat not operational,,,,,,,
Smart Home,,Missing Key,,,,Tech I II III ,normal,x,
Smart Home,,Hub not operational,,,,,,,
Smart Home,,"other, please provide description",,,,,,,
Landscape,,irrigation system,irrigation system,broken sprinkler head,broken sprinkler head,Tech II III,normal,x,
Landscape,,Diseased or Damaged Tree,Diseased or Damaged Tree,,,vend,high,,
Landscape,,Irrigation System,Drainage ,water ponding or not draining properly,water ponding or not draining properly,Tech II III,normal,,
Landscape,,Irrigation System,,No power or not operating ,No power or not operating ,Tech II III,high,,
Landscape,,Irrigation System,,"Other, please provide description","Other, please provide description",Tech II III,normal,,
Landscape,,Mow Lawn,,,,vend,normal,x,
Landscape,,"other, please provide description","other, please provide description",,,vend,normal,x,
Landscape,,Remove Tree,,,,vend,normal,,
Landscape,,Replace Sod,,,,vend,normal,x,
Landscape,,Trim Tree,,,,vend,normal,x,
Landscape,,Uneven Driveway,"other, please provide description",,,Tech I II III ,normal,,
Landscape,,Unwanted Vegetation,,,,vend,normal,x,
Landscape,,Weed Infestation,,,,vend,normal,x,
Pest Control,,Ants,,,,vend,normal,x,
Pest Control,,Bats,,,,vend,high,,
Pest Control,,Bees/Wasps,,,,vend,normal,x,
Pest Control,,Birds,,,,vend,normal,x,
Pest Control,,Cockroaches,,,,vend,normal,x,
Pest Control,,"other, please provide description","other, please provide description",,,vend,normal,x,
Pest Control,,Rodents,,,,vend,high,,
Pest Control,,Scorpions,,,,vend,high,,
Pest Control,,Spiders,,,,vend,normal,x,
Pest Control,,Termites,,,,vend,high,,
Pest Control,,Wildlife,,,,vend,high,,
Plumbing,,Bathtub,,"Other, Please Provide Description","Other, Please Provide Description",Tech I II III,normal,,
Plumbing,,Bathtub,,Broken Handle,,Tech I II III,normal,x,
Plumbing,,Bathtub,,Leak outside of Tub area,Leak outside of Tub area,Tech I II III,emergency,,
Plumbing,,Bathtub,,Clogged,,Tech I II III,high,x,
Plumbing,,Bathtub,,Damaged,,Tech I II III,normal,x,
Plumbing,,Bathtub,,"Other, Please Provide Description","Other, Please Provide Description",Tech I II III,normal,,
Plumbing,,Bathtub,,No Water,,Tech I II III,emergency,,
Plumbing,,Bathtub,,No Hot water / Tub only,No Hot water / Tub only,Tech I II III,high,,
Plumbing,,Bathtub,,Dripping into tub area,Dripping into tub area,Tech I II III,normal,,
Plumbing,,Bathtub,,Controls Very Tight To Turn,"Other, Please Provide Description",Tech I II III,normal,,
Plumbing,,Bathtub,,Rust,"Other, Please Provide Description",Tech I II III,normal,,
